x, y
-106.58102766798419, -0.3181818181818182
-107.399209486166, -0.2727272727272727
-108.09881422924902, -0.2272727272727273
-108.72727272727273, -0.09090909090909091
-109.22529644268775, 0.6363636363636364
-109.46245059288538, 2
-109.60474308300395, 3.909090909090909
-109.73517786561264, 6.181818181818182
-109.81818181818181, 8.363636363636363
-109.91304347826087, 10.681818181818182
-109.98418972332016, 12.545454545454545
-110.04347826086956, 13.772727272727273
-110.13833992094861, 14.5
-110.23320158102767, 14.045454545454545
-110.32806324110672, 13.272727272727273
-110.399209486166, 12.090909090909092
-110.51778656126483, 10.454545454545455
-110.61264822134387, 8.590909090909092
-110.76679841897233, 6.5
-110.89723320158103, 4.909090909090909
-111.14624505928853, 3.4545454545454546
-111.39525691699605, 2.8181818181818183
-111.73913043478261, 2.409090909090909
-112.03557312252964, 2.681818181818182
-112.27272727272727, 3.3181818181818183
-112.4505928853755, 4.454545454545455
-112.54545454545455, 5.636363636363637
-112.59288537549406, 7.090909090909091
-112.66403162055336, 8.590909090909092
-112.699604743083, 9.318181818181818
-112.75652159438303, 9.988636363636363
-112.82766783944231, 9.352272727272728
-112.87747035573122, 8.272727272727273
-112.94861660079052, 6.7272727272727275
-112.99604743083003, 5.909090909090909
-113.05533596837945, 4.545454545454546
-113.18577075098814, 3.772727272727273
-113.28063241106719, 2.681818181818182
-113.62450592885375, 2
-113.99209486166008, 1.1363636363636365
-114.51383399209486, 0.6818181818181819
-115.03557312252964, 0.4545454545454546
-115.48616600790514, 0.4090909090909091
